created_at;field6
2021-12-03T00:00:00+0100;3.1
2021-12-04T00:00:00+0100;4.5
2021-12-05T00:00:00+0100;7.5
2021-12-06T00:00:00+0100;3.7
2021-12-07T00:00:00+0100;7.4
2021-12-08T00:00:00+0100;5.3
2021-12-09T00:00:00+0100;4.2
2021-12-10T00:00:00+0100;4.0
2021-12-11T00:00:00+0100;5.2
2021-12-12T00:00:00+0100;5.3
2021-12-13T00:00:00+0100;8.6
2021-12-14T00:00:00+0100;7.2
2021-12-15T00:00:00+0100;8.2
2021-12-16T00:00:00+0100;8.6
2021-12-17T00:00:00+0100;7.9
2021-12-18T00:00:00+0100;4.5
2021-12-19T00:00:00+0100;7.2
2021-12-20T00:00:00+0100;7.7
2021-12-21T00:00:00+0100;4.8
2021-12-22T00:00:00+0100;2.3
2021-12-23T00:00:00+0100;6.6
2021-12-24T00:00:00+0100;9.9
2021-12-25T00:00:00+0100;6.6
2021-12-26T00:00:00+0100;3.1
2021-12-27T00:00:00+0100;7.4
2021-12-28T00:00:00+0100;9.9
2021-12-29T00:00:00+0100;9.9
2021-12-30T00:00:00+0100;9.9
2021-12-31T00:00:00+0100;9.9
2022-01-01T00:00:00+0100;9.9
2022-01-02T00:00:00+0100;9.9
2022-01-03T00:00:00+0100;9.9
2022-01-04T00:00:00+0100;9.8
2022-01-05T00:00:00+0100;6.1
2022-01-06T00:00:00+0100;6.8
2022-01-07T00:00:00+0100;2.6
2022-01-08T00:00:00+0100;4.1
2022-01-09T00:00:00+0100;5.4
2022-01-10T00:00:00+0100;5.9
2022-01-11T00:00:00+0100;5.1
2022-01-12T00:00:00+0100;6.9
2022-01-13T00:00:00+0100;2.6
2022-01-14T00:00:00+0100;2.1
2022-01-15T00:00:00+0100;3.4
2022-01-16T00:00:00+0100;3.0
2022-01-17T00:00:00+0100;6.2
2022-01-18T00:00:00+0100;7.8
2022-01-19T00:00:00+0100;6.1
2022-01-20T00:00:00+0100;5.3
2022-01-21T00:00:00+0100;5.0
2022-01-22T00:00:00+0100;6.0
2022-01-23T00:00:00+0100;7.1
